depth,nst,id
10.76,18,nc72970101
9.24,33,ci38109344
1.96,21,nc72969966
5.55,19,ci38109224
14.74,47,ci38109136
5.63,43,ci38109104
4.19,27,ci38108504
25.46,27,hv70037477
26.4,24,hv70037427
7.41,15,ci38108136
1.95,20,nc72968486
7.06,22,nc72967621
10.76,56,ci38105848
10,,us2000d0cy
9.5,24,ci38105704
50.83,,us2000d09v
11.59,15,nc72967266
3.77,34,nc72966976
24.38,,us2000d01n
3.77,16,nc72966826
1.48,13,ci38104664
2.61,24,ci38104160
7.02,17,nc72966321
-1.01,28,ci38103720
12.21,40,ci37869175
5,19,pr2018039002
10,,us1000ci9p
2.06,20,nc72965511
2.33,32,nc72965386
7.15,25,ci38100912
